virus_name	viral_acc	evidence
Erwinia phage Hena1	NC_048828	RefSeq
Erwinia phage Machina	NC_042056	RefSeq
Erwinia phage PEp14	NC_016767	NCBI Virus, RefSeq
Erwinia phage pEp_SNUABM_01	NC_048807	RefSeq
Erwinia phage pEp_SNUABM_08	NC_053011	NCBI Virus, RefSeq
Erwinia phage phiEa100	NC_019926	Literature
Erwinia phage phiEa104	NC_015292	Literature
Erwinia phage phiEa1H	FQ482084	Literature
Erwinia phage phiEa21-4	NC_011811	RefSeq
Erwinia phage phiEa2809	NC_027340	RefSeq
Erwinia phage PhiEaH1	NC_023610	RefSeq
Erwinia phage phiEaH2	NC_019929	RefSeq
Erwinia phage phiEaP8	NC_049510	RefSeq
Erwinia phage phiEaP8	NC_049510	RefSeq
Erwinia phage phiEt88	NC_015295	Literature
Erwinia phage vB_Eam-MM7	NC_041978	RefSeq
Erwinia phage vB_EamM-Bue1	NC_048702	RefSeq
Erwinia phage vB_EamM-Y2	NC_019504	RefSeq
Erwinia phage vB_EamM_Alexandra	NC_047995	RefSeq
Erwinia phage vB_EamM_Asesino	NC_031107	RefSeq
Erwinia phage vB_EamM_Caitlin	NC_031120	NCBI Virus, RefSeq
Erwinia phage vB_EamM_ChrisDB	NC_031126	NCBI Virus, RefSeq
Erwinia phage vB_EamM_Deimos-Minion	NC_041972	RefSeq
Erwinia phage vB_EamM_Desertfox	NC_042098	RefSeq
Erwinia phage vB_EamM_EarlPhillipIV	NC_031007	NCBI Virus, RefSeq
Erwinia phage vB_EamM_Huxley	NC_031127	NCBI Virus, RefSeq
Erwinia phage vB_EamM_Kwan	NC_031010	NCBI Virus, RefSeq
Erwinia phage vB_EamM_Phobos	NC_031043	NCBI Virus, RefSeq
Erwinia phage vB_EamM_RAY	NC_041973	RefSeq
Erwinia phage vB_EamM_RisingSun	NC_042018	RefSeq
Erwinia phage vB_EamM_Simmy50	NC_041974	RefSeq
Erwinia phage vB_EamM_Special G	NC_041975	RefSeq
Erwinia phage vB_EamM_Y3	NC_047880	RefSeq
Erwinia phage vB_EamM_Yoloswag	NC_047815	RefSeq
Erwinia phage vB_EamP-L1	NC_019510	RefSeq
Erwinia phage vB_EamP-S2	NC_047917	RefSeq
Erwinia phage vB_EamP-S6	NC_019514	RefSeq
Erwinia phage Wellington	NC_048016	RefSeq
Erysipelothrix phage SE-1	NC_029078	NCBI Virus, RefSeq
Escherichia coli O157 typing phage 10	KP869108	NCBI Virus, RefSeq
Escherichia coli O157 typing phage 11	KP869109	NCBI Virus, RefSeq
Escherichia coli O157 typing phage 12	KP869110	NCBI Virus, RefSeq
Escherichia coli O157 typing phage 3	NC_041863	RefSeq
Escherichia coli O157 typing phage 5	KP869103	NCBI Virus, RefSeq
Escherichia coli O157 typing phage 6	NC_041864	RefSeq
Escherichia phage 121Q	NC_025447	RefSeq
Escherichia phage 13a	NC_011045	RefSeq
Escherichia phage 172-1	NC_028903	RefSeq
Escherichia phage 1720a-02	KF030445	NCBI Virus, RefSeq
Escherichia phage 1720a-02	KF030445	RefSeq
Escherichia phage 186	NC_001317	UniProt
Escherichia phage 285P	NC_015249	RefSeq
Escherichia phage 4MG	NC_022968	RefSeq
Escherichia phage 500465-1	NC_049342	RefSeq
Escherichia phage 500465-2	NC_049343	RefSeq
Escherichia phage 503458	NC_049341	RefSeq
Escherichia phage 520873	NC_049344	RefSeq
Escherichia phage 64795_ec1	NC_031114	RefSeq
Escherichia phage 933W	NC_000924	UniProt
Escherichia phage 933W	NC_000924	RefSeq
Escherichia phage aalborv	NC_049829	RefSeq
Escherichia phage aaroes	NC_049826	RefSeq
Escherichia phage ADB-2	NC_019725	Literature
Escherichia phage alia	NC_052655	Literature
Escherichia phage alpha3	NC_001330	RefSeq, UniProt
Escherichia phage anhysbys	NC_052656	Literature
Escherichia phage AnYang	NC_055782	NCBI Virus, RefSeq
Escherichia phage APCEc01	NC_029091	RefSeq
Escherichia phage APECc02	NC_041869	RefSeq
Escherichia phage AR1	NC_027983	Literature, RefSeq, UniProt
Escherichia phage ArgO145	NC_049918	RefSeq
Escherichia phage atuna	NC_049819	RefSeq
Escherichia phage Av-05	NC_025830	RefSeq
Escherichia phage BA14	NC_011040	RefSeq
Escherichia phage Bp4	NC_024142	RefSeq
Escherichia phage Bp7	NC_019500	RefSeq
Escherichia phage bV_EcoS_AHP24	KF771236	Literature
Escherichia phage C1	NC_054651	NCBI Virus, RefSeq
Escherichia phage C119	NC_042046	RefSeq
Escherichia phage C5	NC_048079	RefSeq
Escherichia phage CAjan	NC_028776	RefSeq
Escherichia phage Cba120	NC_016570	RefSeq
Escherichia phage chee24	NC_047885	Literature
Escherichia phage CICC 80001	NC_027387	RefSeq
Escherichia phage D108	NC_013594	NCBI Virus, RefSeq, UniProt
Escherichia phage D6	NC_050154	NCBI Virus, RefSeq
Escherichia phage damhaus	NC_049827	Literature
Escherichia phage DE3	NC_042057	RefSeq
Escherichia phage DT571/2	NC_047749	RefSeq
Escherichia phage DT57C	KM979354	RefSeq
Escherichia phage DTL	NC_047893	RefSeq
Escherichia phage Ebrios	NC_047942	RefSeq
Escherichia phage EC1-UPM	NC_041906	RefSeq
Escherichia phage EC121	NC_054909	RefSeq
Escherichia phage EC6098	NC_048874	RefSeq
Escherichia phage ECA2	NC_047766	RefSeq
Escherichia phage ECBP1	NC_018854	RefSeq
Escherichia phage ECBP2	NC_018859	RefSeq
Escherichia phage ECBP5	NC_027330	RefSeq
Escherichia phage ECD7	NC_041936	RefSeq
Escherichia phage ECML-117	NC_025441	RefSeq
Escherichia phage ECML-134	NC_025449	RefSeq
Escherichia phage ECML-4	NC_025446	RefSeq
Escherichia phage EcNP1	NC_054910	RefSeq
Escherichia phage ECO4	NC_054911	RefSeq
Escherichia phage EcoDS1	NC_011042	RefSeq
Escherichia phage Eco_BIFF	NC_047996	RefSeq
Escherichia phage ECP1	NC_049926	RefSeq
Escherichia phage EcS1	NC_055721	NCBI Virus, RefSeq
Escherichia phage EG1	NC_047895	RefSeq
Escherichia phage egaa	NC_049852	Literature
Escherichia phage EK99P-1	NC_024783	RefSeq
Escherichia phage Envy	NC_031081	NCBI Virus, RefSeq
Escherichia phage Eps7	NC_010583	RefSeq
Escherichia phage ESCO13	NC_047770	NCBI Virus, RefSeq
Escherichia phage ESCO5	NC_047776	RefSeq
Escherichia phage F2	NC_054913	RefSeq
Escherichia phage fd	NC_025824	UniProt
Escherichia phage FEC14	NC_049427	RefSeq
Escherichia phage FEC19	NC_048073	RefSeq
Escherichia phage FFH2	NC_024134	RefSeq
Escherichia phage flopper	NC_048845	RefSeq
Escherichia phage fp01	NC_048731	RefSeq
Escherichia phage FV3	NC_019517	RefSeq
Escherichia phage G4	NC_001420	UniProt
Escherichia phage GA2A	NC_031943	RefSeq
Escherichia phage Gluttony	NC_031113	NCBI Virus, RefSeq
Escherichia phage Gostya9	NC_047979	RefSeq
Escherichia phage grams	NC_049825	Literature
Escherichia phage haarsle	NC_049828	Literature
Escherichia phage Henu7	NC_054894	RefSeq
Escherichia phage Henu8	NC_049853	RefSeq
Escherichia phage herni	NC_049823	Literature
Escherichia phage HK022	NC_002166	UniProt
Escherichia phage HK106	NC_019768	RefSeq
Escherichia phage HK446	NC_019714	RefSeq
Escherichia phage HK542	NC_019769	RefSeq
Escherichia phage HK544	NC_019767	RefSeq
Escherichia phage HK578	NC_019724	RefSeq
Escherichia phage HK629	NC_019711	RefSeq
Escherichia phage HK630	NC_019723	RefSeq
Escherichia phage HK633	NC_019719	RefSeq
Escherichia phage HK639	NC_016158	NCBI Virus, RefSeq
Escherichia phage HK75	NC_016160	RefSeq
Escherichia phage HK97	NC_002167	RefSeq, UniProt
Escherichia phage HP3	NC_041919	RefSeq
Escherichia phage HX01	NC_018855	RefSeq
Escherichia phage HY02	NC_028872	RefSeq
Escherichia phage HY03	NC_031047	RefSeq
Escherichia phage HZ2R8	NC_047923	RefSeq
Escherichia phage HZP2	NC_048164	RefSeq
Escherichia phage ID2 Moscow/ID/2001	NC_007817	RefSeq
Escherichia phage If1	NC_001954	RefSeq, UniProt
Escherichia phage IME08	NC_014260	RefSeq
Escherichia phage ime09	NC_019503	RefSeq
Escherichia phage IME11	NC_019423	RefSeq
Escherichia phage J8-65	NC_025445	RefSeq
Escherichia phage JES2013	NC_022323	RefSeq
Escherichia phage JH2	NC_029023	RefSeq
Escherichia phage Jk06	NC_007291	RefSeq
Escherichia phage JL1	JX865427	RefSeq
Escherichia phage JLK-2012	NC_049942	RefSeq
Escherichia phage JMPW1	NC_041874	RefSeq
Escherichia phage JMPW2	NC_041873	RefSeq
Escherichia phage JS10	NC_012741	RefSeq
Escherichia phage JS98	NC_010105	RefSeq
Escherichia phage JSE	NC_012740	RefSeq
Escherichia phage K1F	NC_007456, NC_007636	RefSeq, UniProt
Escherichia phage K1G	NC_027993	Literature, RefSeq
Escherichia phage K1H	NC_027994	Literature, RefSeq
Escherichia phage K1ind1	NC_041897	RefSeq
Escherichia phage K1ind2	NC_041898	RefSeq
Escherichia phage K1ind3	GU196281	NCBI Virus, RefSeq
Escherichia phage KBNP1711	NC_023593	RefSeq
Escherichia phage KIT03	NC_054923	RefSeq
Escherichia phage Lambda_ev017	NC_049948	NCBI Virus
Escherichia phage Lambda_ev099	NC_049953	NCBI Virus
Escherichia phage Lambda_ev207	NC_049949	NCBI Virus
Escherichia phage Lambda_ev243	NC_049955	NCBI Virus
Escherichia phage Lidtsur	NC_048177	RefSeq
Escherichia phage LL11	NC_048064	RefSeq
Escherichia phage LL2	NC_048063	RefSeq
Escherichia phage LM33_P1	NC_031937	RefSeq
Escherichia phage Lw1	NC_021344	RefSeq
Escherichia phage Lyz12581Vzw	NC_049917	RefSeq
Escherichia phage Mangalitsa	NC_048799	RefSeq
Escherichia phage mEp234	NC_019715	RefSeq
Escherichia phage mEpX1	NC_019709	RefSeq
Escherichia phage mEpX2	NC_019705	RefSeq
Escherichia phage Min27	NC_010237	RefSeq
Escherichia phage Minorna	NC_048172	RefSeq
Escherichia phage MLF4	NC_055780	NCBI Virus, RefSeq
Escherichia phage MS2	NC_001417	UniProt
Escherichia phage Mt1B1_P17	NC_052662	NCBI Virus, RefSeq
Escherichia phage Mu	NC_000929	RefSeq
Escherichia phage Murica	NC_041871	RefSeq
Escherichia phage muut	NC_052657	Literature
Escherichia phage MX01	NC_031934	RefSeq
Escherichia phage N15	NC_001901	UniProt
Escherichia phage N30	NC_048078	RefSeq
Escherichia phage N4	NC_008720	RefSeq, UniProt
Escherichia phage N4	NC_008720	Literature, RefSeq
Escherichia phage NC-A	NC_048163	RefSeq
Escherichia phage nepoznato	NC_052658	Literature
Escherichia phage nieznany	NC_052659	Literature
Escherichia phage NJ01	NC_018835	RefSeq
Escherichia phage OSYSP	NC_047835	RefSeq
Escherichia phage p000v	NC_055781	NCBI Virus, RefSeq
Escherichia phage P1	NC_005856	RefSeq
Escherichia phage P2	KC618326	RefSeq
Escherichia phage P483	NC_028822	RefSeq
Escherichia phage P694	NC_028863	RefSeq
Escherichia phage PA2	NC_028449	RefSeq
Escherichia phage PA28	NC_041935	RefSeq
Escherichia phage PBECO4	NC_027364	RefSeq
Escherichia phage PE3-1	NC_024379	RefSeq
Escherichia phage PE37	NC_054929	RefSeq
Escherichia phage PGN590	NC_049830	RefSeq
Escherichia phage PGT2	NC_047890	RefSeq
Escherichia phage phAPEC8	NC_020079	RefSeq
Escherichia phage PhaxI	NC_019452	RefSeq
Escherichia phage Phi1	NC_009821	RefSeq
Escherichia phage phi191	NC_028660	RefSeq
Escherichia phage phiAPCEc03	NC_047754	RefSeq
Escherichia phage phiC120	NC_055718	NCBI Virus, RefSeq
Escherichia phage phiE142	NC_055709	NCBI Virus, RefSeq
Escherichia phage phiEB49	NC_023743	RefSeq
Escherichia phage phiEC1	NC_041920	RefSeq
Escherichia phage phiEco32	NC_010324	RefSeq, UniProt
Escherichia phage phiEcoM-GJ1	NC_010106	RefSeq
Escherichia phage phiK	NC_001730	UniProt
Escherichia phage phiKP26	NC_042038	RefSeq
Escherichia phage phiLLS	NC_047822	RefSeq
Escherichia phage phiSUSP1	NC_028808	RefSeq
Escherichia phage phiV10	NC_007804	RefSeq
Escherichia phage phT4A	NC_055712	NCBI Virus, RefSeq
Escherichia phage Pollock	NC_027381	RefSeq
Escherichia phage pro147	NC_028896	RefSeq
Escherichia phage pro483	NC_028943	RefSeq
Escherichia phage PTXU04	NC_048193	RefSeq
Escherichia phage Qbeta	AF059242	UniProt
Escherichia phage RB16	HM134276	RefSeq
Escherichia phage RB3	NC_025419	Literature, RefSeq
Escherichia phage RB43	AY967407	Literature
Escherichia phage RB49	NC_005066	RefSeq, UniProt
Escherichia phage RB69	NC_004928	RefSeq, UniProt
Escherichia phage RCS47	NC_042128	RefSeq
Escherichia phage Ro45lw	NC_048136	RefSeq
Escherichia phage SECphi27	NC_047938	RefSeq
Escherichia phage Seurat	NC_027378	RefSeq
Escherichia phage SF	NC_055749	NCBI Virus, RefSeq
Escherichia phage SH2026Stx1	NC_049919	RefSeq
Escherichia phage SH2026Stx1	NC_049919	RefSeq
Escherichia phage Skarpretter	NC_048112	Literature, RefSeq
Escherichia phage slur01	NC_028831	NCBI Virus, RefSeq
Escherichia phage slur02	NC_028927	NCBI Virus, RefSeq
Escherichia phage slur03	NC_042129	RefSeq
Escherichia phage slur04	NC_042130	RefSeq
Escherichia phage slur05	NC_028901	NCBI Virus, RefSeq
Escherichia phage slur14	NC_028448	NCBI Virus, RefSeq
Escherichia phage slur16	NC_028248	RefSeq
Escherichia phage Sortsne	NC_048178	RefSeq
Escherichia phage SP15	NC_048627	RefSeq
Escherichia phage SRT7	NC_048002	RefSeq
Escherichia phage SRT8	NC_042043	RefSeq
Escherichia phage SSL-2009a	FJ750948	RefSeq
Escherichia phage St-1	NC_012868	Literature, UniProt
Escherichia phage ST0	NC_041990	RefSeq
Escherichia phage ST31	NC_047829	RefSeq
Escherichia phage ST32	NC_047830	RefSeq
Escherichia phage Stx2 II	NC_004914	RefSeq
Escherichia phage SUSP2	NC_028935	RefSeq
Escherichia phage T1	NC_005833	RefSeq, UniProt
Escherichia phage T5	NC_005859	RefSeq, UniProt
Escherichia phage T7	NC_001604	RefSeq, UniProt
Escherichia phage teqdroes	NC_054932	RefSeq
Escherichia phage teqhad	NC_054933	RefSeq
Escherichia phage teqskov	NC_054934	RefSeq
Escherichia phage tiwna	NC_054896	Literature
Escherichia phage TL-2011b	NC_019445	Literature, RefSeq
Escherichia phage TL-2011b	NC_019445	NCBI Virus
Escherichia phage TL-2011c	NC_019442	Literature, RefSeq
Escherichia phage Tls	NC_009540	RefSeq
Escherichia phage tonijn	NC_049818	Literature
Escherichia phage tonn	NC_049815	Literature
Escherichia phage tonnikala	NC_049817	Literature
Escherichia phage tuntematon	NC_052660	Literature
Escherichia phage tunus	NC_049816	Literature
Escherichia phage UAB_Phi78	NC_020414	RefSeq
Escherichia phage UFV-AREG1	NC_031030	RefSeq
Escherichia phage ukendt	NC_052661	Literature
Escherichia phage Utah	NC_053002	Literature, NCBI Virus, RefSeq
Escherichia phage V18	NC_041937	RefSeq
Escherichia phage V5	NC_011041	RefSeq
Escherichia phage vB_EcoM-12474III	NC_049457	RefSeq
Escherichia phage vB_EcoM-ep3	NC_025430	RefSeq
Escherichia phage vB_EcoM-fFiEco06	NC_054914	RefSeq
Escherichia phage vB_EcoM-G28	NC_054916	RefSeq
Escherichia phage vB_EcoM-Ro121c4YLVW	NC_052654	NCBI Virus, RefSeq
Escherichia phage vB_EcoM-UFV13	NC_031103	NCBI Virus, RefSeq
Escherichia phage vB_EcoM-VpaE1	NC_027337	RefSeq
Escherichia phage vb_EcoM-VR5	NC_028881	RefSeq
Escherichia phage vB_EcoM_005	NC_055783	Literature, RefSeq
Escherichia phage vB_EcoM_005	NC_055783	Literature, NCBI Virus
Escherichia phage vB_EcoM_112	NC_024125	RefSeq
Escherichia phage vB_EcoM_4HA13	NC_049466	RefSeq
Escherichia phage vB_EcoM_ACG-C40	NC_019399	RefSeq
Escherichia phage vB_EcoM_Alf5	NC_031082	RefSeq
Escherichia phage vB_EcoM_AYO145A	NC_028825	RefSeq
Escherichia phage vB_EcoM_DalCa	NC_054908	RefSeq
Escherichia phage vB_EcoM_ECO1230-10	NC_027995	Literature, RefSeq
Escherichia phage vB_EcoM_ECOO78	NC_041926	RefSeq
Escherichia phage vB_EcoM_G4498	NC_054918	RefSeq
Escherichia phage vB_EcoM_G4507	NC_054919	RefSeq
Escherichia phage vB_EcoM_G50	NC_054917	RefSeq
Escherichia phage vB_EcoM_G8	NC_054915	RefSeq
Escherichia phage vB_EcoM_G9062	NC_054920	RefSeq
Escherichia phage vB_EcoM_Goslar	NC_048170	RefSeq
Escherichia phage vB_EcoM_IME537	NC_054921	RefSeq
Escherichia phage vB_EcoM_KAW1E185	NC_054922	RefSeq
Escherichia phage vB_EcoM_KWBSE43-6	NC_048186	RefSeq
Escherichia phage vB_EcoM_NBG2	NC_054925	RefSeq
Escherichia phage vB_EcoM_OE5505	NC_054926	RefSeq
Escherichia phage vB_EcoM_Ozark	NC_054927	Literature
Escherichia phage vB_EcoM_PhAPEC2	NC_024794	RefSeq
Escherichia phage vB_EcoM_Schickermooser	NC_048196	RefSeq
Escherichia phage vB_EcoM_VR20	NC_028894	RefSeq
Escherichia phage vB_EcoM_VR25	NC_028925	RefSeq
Escherichia phage vB_EcoM_VR26	NC_028957	RefSeq
Escherichia phage vB_EcoM_VR7	NC_014792	RefSeq
Escherichia phage vB_EcoM_WFC	NC_048195	RefSeq
Escherichia phage vB_EcoM_WFH	NC_048194	Literature
Escherichia phage vB_EcoP_24B	NC_027984	RefSeq
Escherichia phage vB_EcoP_ACG-C91	NC_019403	RefSeq
Escherichia phage vB_EcoP_B	NC_047806	RefSeq
Escherichia phage vB_EcoP_C	NC_047807	RefSeq
Escherichia phage vB_EcoP_F	NC_047808	RefSeq
Escherichia phage vB_EcoP_G7C	NC_015933	Literature
Escherichia phage vB_EcoP_K	NC_047809	RefSeq
Escherichia phage vB_EcoP_PhAPEC5	NC_024786	Literature
Escherichia phage vB_EcoP_PhAPEC7	NC_024790	RefSeq
Escherichia phage vB_EcoP_S523	NC_047984	RefSeq
Escherichia phage vB_EcoP_SU10	NC_027395	RefSeq
Escherichia phage vB_EcoS Sa179lw	NC_054637	NCBI Virus, RefSeq
Escherichia phage vB_EcoS-12210I	NC_049813	RefSeq
Escherichia phage vB_EcoS-95	NC_048132	Literature
Escherichia phage vB_EcoS-DELF2	NC_049832	RefSeq
Escherichia phage VB_EcoS-Golestan	NC_042084	RefSeq
Escherichia phage vB_EcoS-IME253	NC_047810	RefSeq
Escherichia phage vB_EcoS_ACG-M12	NC_019404	RefSeq
Escherichia phage vB_EcoS_AHP42	NC_024793	Literature
Escherichia phage vB_EcoS_AHS24	NC_024784	Literature
Escherichia phage vB_EcoS_AKFV33	NC_017969	RefSeq
Escherichia phage vB_EcoS_AKS96	NC_024789	Literature
Escherichia phage vB_EcoS_CEB_EC3a	NC_047812	RefSeq
Escherichia phage vB_EcoS_ESCO41	NC_047820	RefSeq
Escherichia phage vB_EcoS_FFH_1	NC_024139	RefSeq
Escherichia phage vB_EcoS_G29-2	NC_049822	RefSeq
Escherichia phage vB_EcoS_HdH2	NC_048748	RefSeq
Escherichia phage vB_EcoS_IME347	NC_047960	RefSeq
Escherichia phage vB_EcoS_IME542	NC_048208	RefSeq
Escherichia phage vB_EcoS_NBD2	NC_031050	RefSeq
Escherichia phage vB_EcoS_PHB17	NC_054892	RefSeq
Escherichia phage vB_EcoS_SH2	NC_047828	RefSeq
Escherichia phage vB_EcoS_swan01	NC_048202	RefSeq
Escherichia phage vB_vPM_PD06	NC_052653	NCBI Virus, RefSeq
Escherichia phage vB_vPM_PD112	NC_054928	RefSeq
Escherichia phage VEcB	NC_052663	NCBI Virus, RefSeq
Escherichia phage vojen	NC_049824	RefSeq
Escherichia phage WG01	NC_031928	RefSeq
Escherichia phage Wphi	NC_005056	RefSeq
Escherichia phage wV7	NC_019505	NCBI Virus, RefSeq
Escherichia phage wV8	NC_012749	RefSeq
Escherichia phage YD-2008.s	NC_027383	RefSeq
Escherichia phage YUEEL01	NC_054935	RefSeq
Escherichia phage YZ1	NC_047927	RefSeq
Escherichia phage ZG49	NC_047777	RefSeq
Escherichia Stx1 converting phage	NC_004913	NCBI Virus, RefSeq
Escherichia Stx1-converting recombinant phage HUN/2013	KJ909655	NCBI Virus
Escherichia Stx1-converting recombinant phage HUN/2013	KJ909655	RefSeq
Escherichia typing phage 1	NC_041979	RefSeq
Escherichia virus AAPEc6	NC_047769	NCBI Virus, RefSeq
Escherichia virus BF23	NC_042564	NCBI Virus, RefSeq, UniProt
Escherichia virus BF23	NC_042564	UniProt
Escherichia virus BZ13	NC_001426	NCBI Virus, RefSeq, UniProt
Escherichia virus DT57C	NC_027356	NCBI Virus, RefSeq
Escherichia virus FI	NC_028902	Literature
Escherichia virus I22	NC_001332	NCBI Virus, RefSeq, UniProt
Escherichia virus JL1	NC_019419	NCBI Virus, RefSeq
Escherichia virus K1-5	NC_008152	NCBI Virus, RefSeq
Escherichia virus K1E	NC_007637	NCBI Virus, RefSeq, UniProt
Escherichia virus KFS-EC	NC_055757	NCBI Virus, RefSeq
Escherichia virus Lambda	NC_001416	NCBI Virus, RefSeq, UniProt
Escherichia virus Lambda_1H12	NC_049947	NCBI Virus
Escherichia virus Lambda_2B8	NC_049952	NCBI Virus
Escherichia virus Lambda_2G7b	NC_049954	NCBI Virus
Escherichia virus Lambda_4A7	NC_049946	NCBI Virus
Escherichia virus M13	NC_003287	Literature, NCBI Virus, RefSeq, UniProt
Escherichia virus MS2	EF108464	Literature
Escherichia virus mutPK1A2	NC_047889	NCBI Virus
Escherichia virus mutPK1A2	NC_047889	RefSeq
Escherichia virus P2	AF063097	Literature
Escherichia virus P2-2H1	NC_049386	NCBI Virus
Escherichia virus P2-2H4	NC_049385	NCBI Virus
Escherichia virus P2-4A7b	NC_049390	NCBI Virus
Escherichia virus P2-4B2	NC_049387	NCBI Virus
Escherichia virus P2-4C9	NC_049388	NCBI Virus
Escherichia virus P2-4E6b	NC_049389	NCBI Virus
Escherichia virus P88-4B11	NC_049391	NCBI Virus
Escherichia virus Qbeta	NC_001890	Literature, NCBI Virus, RefSeq, UniProt
Escherichia virus RB16	NC_014467	Literature, NCBI Virus, RefSeq
Escherichia virus RB32	NC_008515	UniProt
Escherichia virus Rtp	NC_007603	NCBI Virus, RefSeq
Escherichia virus SSL2009a	NC_012223	NCBI Virus, RefSeq
Escherichia virus T4	NC_000866	NCBI Virus, RefSeq, UniProt
Escherichia virus Vec13	NC_048023	NCBI Virus, RefSeq
Escherichia virus VEc3	NC_047899	NCBI Virus, RefSeq
Escherichia virus VEc33	NC_048818	NCBI Virus, RefSeq
Faecalibacterium phage FP_Brigit	NC_047909	RefSeq
Faecalibacterium phage FP_Epona	NC_047910	RefSeq
Faecalibacterium phage FP_Lagaffe	NC_047911	RefSeq
Faecalibacterium phage FP_Lugh	NC_047912	RefSeq
Faecalibacterium phage FP_Mushu	NC_047913	RefSeq
Faecalibacterium phage FP_oengus	NC_047916	RefSeq
Faecalibacterium phage FP_Taranis	NC_047914	RefSeq
Faecalibacterium phage FP_Toutatis	NC_047915	RefSeq
Flavobacterium phage 1H	NC_031911	RefSeq
Flavobacterium phage 23T	NC_041859	RefSeq
Flavobacterium phage 2A	NC_031926	RefSeq
Flavobacterium phage 6H	NC_021867	RefSeq
Flavobacterium phage FCL-2	NC_027125	RefSeq
Flavobacterium phage FCV-1	NC_041845	RefSeq
Flavobacterium phage Fpv1	NC_031914	RefSeq
Flavobacterium phage Fpv10	NC_031932	NCBI Virus, RefSeq
Flavobacterium phage Fpv11	NC_031945	NCBI Virus, RefSeq
Flavobacterium phage Fpv2	NC_031931	NCBI Virus, RefSeq
Flavobacterium phage Fpv20	NC_031912	NCBI Virus, RefSeq
Flavobacterium phage Fpv3	NC_031904	NCBI Virus, RefSeq
Flavobacterium phage FpV4	NC_041872	RefSeq
Flavobacterium phage Fpv5	NC_031921	NCBI Virus, RefSeq
Flavobacterium phage Fpv6	NC_031938	NCBI Virus, RefSeq
Flavobacterium phage Fpv7	NC_031905	NCBI Virus, RefSeq
Flavobacterium phage Fpv8	NC_031919	NCBI Virus, RefSeq
Fusobacterium phage Fnu1	NC_055035	Literature
Fusobacterium phage Funu1	KR131710	NCBI Virus, RefSeq
Geobacillus phage GBK2	NC_023612	NCBI Virus, RefSeq
Geobacillus phage TP-84	NC_041918	RefSeq
Geobacillus virus E3	NC_029073	Literature
Gordonia phage Adgers	NC_048695	RefSeq
Gordonia phage Ailee	NC_055773	NCBI Virus, RefSeq
Gordonia phage Ali17	NC_053245	NCBI Virus, RefSeq
Gordonia phage Angelicage	NC_055762	NCBI Virus, RefSeq
Gordonia phage Apricot	NC_048018	RefSeq
Gordonia phage Archimedes	NC_054392	NCBI Virus, RefSeq
Gordonia phage Arri	NC_055798	NCBI Virus, RefSeq
Gordonia phage Asapag	NC_048146	RefSeq
Gordonia phage Ashertheman	NC_053237	NCBI Virus, RefSeq
Gordonia phage Attis	NC_041883	RefSeq
Gordonia phage Avazak	NC_048822	RefSeq
Gordonia phage Azula	NC_055865	NCBI Virus, RefSeq
Gordonia phage Bachita	NC_030936	RefSeq
Gordonia phage Bakery	NC_055804	NCBI Virus, RefSeq
Gordonia phage Bantam	NC_031074	RefSeq
Gordonia phage Barb	NC_055797	NCBI Virus, RefSeq
Gordonia Phage Barsten	NC_055856	NCBI Virus, RefSeq
Gordonia phage BaxterFox	NC_031226	RefSeq
Gordonia phage Beaver	NC_048783	RefSeq
Gordonia phage BENtherdunthat	NC_047891	RefSeq
Gordonia phage BetterKatz	NC_031247	RefSeq
Gordonia phage Bibwit	NC_055774	NCBI Virus, RefSeq
Gordonia phage BirksAndSocks	NC_047892	RefSeq
Gordonia phage Bizzy	NC_053239	NCBI Virus, RefSeq
Gordonia phage Blino	NC_055912	NCBI Virus, RefSeq
Gordonia phage Blueberry	NC_030943	NCBI Virus, RefSeq
Gordonia phage Bowser	NC_030930	RefSeq
Gordonia phage Brandonk123	NC_042108	RefSeq
Gordonia phage BritBrat	NC_030942	RefSeq
Gordonia phage BrutonGaster	NC_048169	RefSeq
Gordonia phage Buggaboo	NC_055770	NCBI Virus, RefSeq
Gordonia phage CaptainKirk2	NC_031072	NCBI Virus, RefSeq
Gordonia phage CarolAnn	NC_031118	NCBI Virus, RefSeq
Gordonia phage Catfish	NC_054434	NCBI Virus, RefSeq
Gordonia phage Chelms	NC_048768	RefSeq
Gordonia phage Chikenjars	NC_048810	RefSeq
Gordonia phage Clown	NC_055867	NCBI Virus, RefSeq
Gordonia phage ClubL	NC_030901	RefSeq
Gordonia phage Cozz	NC_030941	RefSeq
Gordonia phage Crocheter	NC_048825	RefSeq
Gordonia phage Cucurbita	NC_031029	NCBI Virus, RefSeq
Gordonia phage Danyall	NC_055751	NCBI Virus, RefSeq
Gordonia phage Dardanus	NC_054435	NCBI Virus, RefSeq
Gordonia phage Daredevil	NC_048021	RefSeq
Gordonia phage Demosthenes	NC_030944	RefSeq
Gordonia phage Dexdert	NC_053210	NCBI Virus, RefSeq
Gordonia phage Duffington	NC_048750	RefSeq
Gordonia phage DumpsterDude	NC_053172	RefSeq
Gordonia phage Emalyn	NC_031234	RefSeq
Gordonia phage Emianna	NC_055771	NCBI Virus, RefSeq
Gordonia phage EMoore	NC_053243	NCBI Virus, RefSeq
Gordonia phage Evamon	NC_055843	NCBI Virus, RefSeq
Gordonia phage Eyre	NC_031122	RefSeq
Gordonia phage Fairfaxidum	NC_048185	RefSeq
