virus_name	viral_acc	report_host	host_taxid	host_lineage	host_tax_rank	find_name	gcfs	new_gcf	assembly_category	assembly_level
Cellulophaga phage phi12:3	KC821615	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi12a:1	NC_021805	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi13:1	KC821625	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi13:1	KC821625	Cellulophaga baltica 13	1348583	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica 13	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi13:2	NC_021803	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi13:2	NC_021803	Cellulophaga baltica 13	1348583	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica 13	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi14:2	NC_021806	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi17:1	NC_021795	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi17:2	NC_021798	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:1	NC_021790	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:1	NC_021790	Cellulophaga baltica 18	1348584	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica 18	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:2	KC821627	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:2	KC821627	Cellulophaga baltica 18	1348584	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica 18	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:3	NC_021794	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:3	NC_021794	Cellulophaga baltica 18	1348584	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica 18	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:4	KC821628	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi18:4	KC821628	Cellulophaga baltica 18	1348584	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica 18	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi19:1	NC_021799	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi19:2	KC821621	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi19:3	NC_021789	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi38:1	NC_021796	Cellulophaga baltica NN016038	1348585	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica NN016038	['GCF_000477035.2']	GCF_000477035.2	Unreference	Complete Genome
Cellulophaga phage phi38:2	KC821629	Cellulophaga baltica NN016038	1348585	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica NN016038	['GCF_000477035.2']	GCF_000477035.2	Unreference	Complete Genome
Cellulophaga phage phi39:1	NC_021804	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi3:1	KC821630	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi3ST:2	KC821610	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi40:1	KC821612	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi46:1	NC_021800	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi46:3	NC_021792	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi47:1	KC821634	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi48:1	KC821631	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi48:2	NC_021793	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi4:1	NC_021788	Cellulophaga baltica	76594	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phi4:1	NC_021788	Cellulophaga baltica 4	1348582	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	strain	Cellulophaga baltica 4	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phiSM	NC_020860	Cellulophaga sp. MM#3	192170	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga sp. MM#3	['GCF_000468615.2', 'GCF_000190595.1', 'GCF_000186265.1']	GCF_000468615.2	Represent	Complete Genome
Cellulophaga phage phiST	NC_020842	Cellulophaga sp. MM#3	192170	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	species	Cellulophaga sp. MM#3	['GCF_000468615.2', 'GCF_000190595.1', 'GCF_000186265.1']	GCF_000468615.2	Represent	Complete Genome
Chlamydia phage 2	NC_002194	Chlamydia psittaci	83554	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	species	Chlamydia psittaci	['GCF_000204255.1']	GCF_000204255.1	Represent	Complete Genome
Chlamydia phage 3	AJ550635	Chlamydia abortus	83555	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	species	Chlamydia abortus	['GCF_900416725.2']	GCF_900416725.2	Represent	Complete Genome
Chlamydia phage 3	AJ550635	Chlamydia felis	83556	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	species	Chlamydia felis	['GCF_000009945.1']	GCF_000009945.1	Represent	Complete Genome
Chlamydia phage 3	AJ550635	Chlamydia caviae GPIC	227941	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia; Chlamydia caviae	isolate	Chlamydia caviae GPIC	['GCF_000007605.1']	GCF_000007605.1	Represent	Complete Genome
Chlamydia phage 3	AJ550635	Chlamydia pecorum E58	331635	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia; Chlamydia pecorum	strain	Chlamydia pecorum E58	['GCF_000204135.1']	GCF_000204135.1	Unreference	Complete Genome
Chlamydia phage 4	NC_007461	Chlamydia abortus	83555	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	species	Chlamydia abortus	['GCF_900416725.2']	GCF_900416725.2	Represent	Complete Genome
Chlamydia phage CPG1	NC_001998	Chlamydia psittaci	83554	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	species	Chlamydia psittaci	['GCF_000204255.1']	GCF_000204255.1	Represent	Complete Genome
Chlamydia virus Chp1	NC_001741	Chlamydia psittaci	83554	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	species	Chlamydia psittaci	['GCF_000204255.1']	GCF_000204255.1	Represent	Complete Genome
Chlamydia virus CPAR39	NC_002180	Chlamydia pneumoniae AR39	115711	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia; Chlamydia pneumoniae	strain	Chlamydia pneumoniae AR39	['GCF_000091085.2']	GCF_000091085.2	Unreference	Complete Genome
Citrobacter phage CF1 DK-2017	NC_047823	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage CF1 ERZ-2017	NC_042067	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage CR44b	NC_023576	Citrobacter rodentium	67825	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter rodentium	['GCF_021278985.1']	GCF_021278985.1	Represent	Complete Genome
Citrobacter phage CR8	NC_023548	Citrobacter rodentium	67825	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter rodentium	['GCF_021278985.1']	GCF_021278985.1	Represent	Complete Genome
Citrobacter phage CVT22	NC_027988	Citrobacter sp. TM1552	1676276	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter sp. TM1552	['GCF_021278985.1', 'GCF_019047765.1', 'GCF_018128425.1', 'GCF_009648935.1', 'GCF_009363175.1', 'GCF_008693645.1', 'GCF_008693605.1', 'GCF_004684345.1', 'GCF_004353845.1', 'GCF_900638065.1', 'GCF_003812345.1', 'GCF_001558935.2', 'GCF_000018045.1']	GCF_021278985.1	Represent	Complete Genome
Citrobacter phage IME-CF2	NC_029013	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage Margaery	NC_028755	Citrobacter sp.	1896336	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter sp.	['GCA_018006895.1', 'GCA_018005915.1']	GCA_018006895.1	Unreference	Scaffold
Citrobacter phage Merlin	NC_028857	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage Michonne	NC_028247	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage Miller	NC_025414	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage Moogle	NC_027293	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage Moon	NC_027331	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage Mordin	NC_041977	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage phiCFP-1	NC_028880	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage PhiZZ23	NC_054901	Citrobacter rodentium	67825	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter rodentium	['GCF_021278985.1']	GCF_021278985.1	Represent	Complete Genome
Citrobacter phage PhiZZ6	NC_054900	Citrobacter rodentium	67825	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter rodentium	['GCF_021278985.1']	GCF_021278985.1	Represent	Complete Genome
Citrobacter phage Sazh	NC_048065	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage SH1	NC_031066	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage SH2	NC_031092	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage SH3	NC_031123	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage SH4	NC_031018	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage Stevie	NC_027350	Citrobacter freundii	546	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	species	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
Citrobacter phage vB_CroM_CrRp10	NC_054899	Citrobacter rodentium	67825	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter rodentium	['GCF_021278985.1']	GCF_021278985.1	Represent	Complete Genome
Citrobacter phage vB_CroP_CrRp3	NC_047920	Citrobacter rodentium	67825	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter rodentium	['GCF_021278985.1']	GCF_021278985.1	Represent	Complete Genome
Citrobacter virus HCF1	NC_054897	Citrobacter amalonaticus	35703	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	species	Citrobacter amalonaticus	['GCF_001558935.2']	GCF_001558935.2	Represent	Complete Genome
Clavibacter phage CMP1	NC_013698	Clavibacter michiganensis subsp. michiganensis	33013	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Microbacteriaceae; Clavibacter; Clavibacter michiganensis	subspecies	Clavibacter michiganensis subsp. michiganensis	['GCF_009739655.1']	GCF_009739655.1	Represent	Complete Genome
Clavibacter phage CN1A	NC_023549	Clavibacter michiganensis	28447	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Microbacteriaceae; Clavibacter	species	Clavibacter michiganensis	['GCF_009739655.1']	GCF_009739655.1	Represent	Complete Genome
Clostridioides phage phiC2	DQ466086	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridioides phage phiCD27	EU719189	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage c-st	NC_007581	Clostridium botulinum C str. Stockholm	929505	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium botulinum	strain	Clostridium botulinum C str. Stockholm	['GCA_000219255.3']	GCA_000219255.3	Unreference	Scaffold
Clostridium phage CDKM15	NC_048643	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage CDKM9	NC_048642	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage CDMH1	NC_024144	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage CPD2	NC_048738	Clostridium perfringens	1502	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome
Clostridium phage CPS1	NC_048661	Clostridium perfringens	1502	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome
Clostridium phage CPS2	NC_048707	Clostridium perfringens ATCC 13124	195103	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium perfringens	strain	Clostridium perfringens ATCC 13124	['GCF_000013285.1']	GCF_000013285.1	Unreference	Complete Genome
Clostridium phage CpV1	NC_048629	Clostridium perfringens	1502	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome
Clostridium phage phi CD119	NC_007917	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage phi24R	NC_019523	Clostridium perfringens	1502	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome
Clostridium phage phi3626	NC_003524	Clostridium perfringens	1502	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	species	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome
Clostridium phage phi8074-B1	NC_019924	Clostridium sporogenes	1509	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	species	Clostridium sporogenes	['GCF_020911725.1', 'GCF_020138775.1', 'GCF_018223745.1', 'GCF_017348895.1', 'GCF_008705175.1', 'GCF_006351925.1', 'GCF_003614235.1', 'GCF_003606265.1', 'GCF_003600355.1', 'GCF_002285495.1', 'GCF_001991075.2', 'GCF_003096175.1', 'GCF_001735765.2', 'GCF_002327205.1', 'GCF_900187165.1', 'GCF_002080475.1', 'GCF_002074155.1', 'GCF_001886875.1', 'GCF_001877035.1', 'GCF_001856695.1', 'GCF_001642655.1', 'GCF_001484725.1', 'GCF_001042715.1', 'GCF_001038625.1', 'GCF_000968375.1', 'GCF_000577895.1', 'GCF_000473995.1', 'GCF_000340885.1', 'GCF_000218855.1', 'GCF_000145275.1', 'GCF_000143685.1', 'GCF_000063585.1', 'GCF_000010265.1']	GCF_020911725.1	Represent	Complete Genome
Clostridium phage phiCD111	NC_028905	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage phiCD146	NC_028958	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage phiCD211	NC_029048	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage phiCD24-1	LN681534	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage phiCD38-2	NC_015568	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage phiCD481-1	NC_028951	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
Clostridium phage phiCD505	NC_028764	Clostridioides difficile	1496	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	species	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome
