gcf	find_name	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
GCF_000959125.1	Burkholderia pseudomallei 1026b	Unreference	Complete Genome	884204	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 1026b
GCF_001718635.1	Burkholderia thailandensis	Represent	Complete Genome	57975	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia thailandensis;t__
GCF_902388015.1	Butyrivibrio fibrisolvens	Unreference	Chromosome	831	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens;t__
GCF_000009085.1	Campylobacter jejuni	Reference	Complete Genome	197	species	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__
GCF_000468915.2	Campylobacter jejuni subsp. jejuni 00-2425	Unreference	Complete Genome	1357994	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni 00-2425
GCF_000302555.5	Campylobacter jejuni subsp. jejuni PT14	Unreference	Complete Genome	1201032	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni PT14
GCF_000006905.1	Caulobacter vibrioides CB15	Unreference	Complete Genome	190650	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15
GCF_000022005.1	Caulobacter vibrioides	Reference	Complete Genome	155892	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__
GCF_001308265.1	Celeribacter marinus	Represent	Complete Genome	1397108	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Celeribacter;s__Celeribacter marinus;t__
GCF_000468615.2	Cellulophaga baltica	Represent	Complete Genome	76594	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__
GCF_000477035.2	Cellulophaga baltica NN016038	Unreference	Complete Genome	1348585	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica NN016038
GCF_000204255.1	Chlamydia psittaci	Represent	Complete Genome	83554	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci;t__
GCF_900416725.2	Chlamydia abortus	Represent	Complete Genome	83555	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia abortus;t__
GCF_000009945.1	Chlamydia felis	Represent	Complete Genome	83556	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia felis;t__
GCF_000007605.1	Chlamydia caviae GPIC	Represent	Complete Genome	227941	isolate	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia caviae;t__
GCF_000204135.1	Chlamydia pecorum E58	Unreference	Complete Genome	331635	strain	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pecorum;t__Chlamydia pecorum E58
GCF_000091085.2	Chlamydia pneumoniae AR39	Unreference	Complete Genome	115711	strain	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pneumoniae;t__Chlamydia pneumoniae AR39
GCF_003812345.1	Citrobacter freundii	Represent	Complete Genome	546	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii;t__
GCF_001558935.2	Citrobacter amalonaticus	Represent	Complete Genome	35703	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter amalonaticus;t__
GCF_009739655.1	Clavibacter michiganensis subsp. michiganensis	Represent	Complete Genome	33013	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter michiganensis;t__Clavibacter michiganensis subsp. michiganensis
GCF_018885085.1	Clostridioides difficile	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
GCF_000063585.1	Clostridium botulinum	Represent	Complete Genome	1491	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium botulinum;t__
GCF_020138775.1	Clostridium perfringens	Represent	Complete Genome	1502	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__
GCF_000013285.1	Clostridium perfringens ATCC 13124	Unreference	Complete Genome	195103	strain	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens ATCC 13124
GCF_020450145.1	Clostridium sporogenes	Represent	Chromosome	1509	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sporogenes;t__
GCF_003013635.1	Clostridium tetani	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
GCF_001642655.1	Clostridium tyrobutyricum	Represent	Complete Genome	1519	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tyrobutyricum;t__
GCF_000013845.2	Clostridium perfringens SM101	Unreference	Complete Genome	289380	strain	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens SM101
GCF_000012325.1	Colwellia psychrerythraea 34H	Represent	Complete Genome	167879	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwellia psychrerythraea;t__Colwellia psychrerythraea 34H
GCF_003641245.1	Corynebacterium xerosis	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
GCF_000550805.1	Corynebacterium vitaeruminis	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
GCF_000404185.1	Corynebacterium glutamicum	Represent	Complete Genome	1718	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__
GCF_000196315.1	Croceibacter atlanticus HTCC2559	Represent	Complete Genome	216432	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus;t__Croceibacter atlanticus HTCC2559
GCF_003516125.1	Cronobacter sakazakii	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
GCF_000027065.2	Cronobacter turicensis	Unreference	Complete Genome	413502	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter turicensis;t__
GCF_001277215.2	Cronobacter malonaticus	Represent	Complete Genome	413503	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter malonaticus;t__
GCF_001277235.1	Cronobacter dublinensis subsp. dublinensis LMG 23823	Represent	Complete Genome	1159554	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter dublinensis;t__Cronobacter dublinensis subsp. dublinensis LMG 23823
GCF_001277195.1	Cronobacter muytjensii ATCC 51329	Represent	Complete Genome	1159613	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter muytjensii;t__Cronobacter muytjensii ATCC 51329
GCF_001277255.1	Cronobacter condimenti	Represent	Complete Genome	1163710	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter condimenti;t__
GCF_000063505.1	Synechococcus sp. WH 7803	Unreference	Complete Genome	32051	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. WH 7803;t__
GCF_000012465.1	Prochlorococcus marinus str. NATL2A	Unreference	Complete Genome	59920	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus str. NATL2A
GCF_002142475.1	Leptolyngbya boryana	Represent	Complete Genome	1184	species	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana;t__
GCF_000011485.1	Prochlorococcus marinus str. MIT 9313	Unreference	Complete Genome	74547	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus str. MIT 9313
GCF_000161795.2	Synechococcus sp. WH 8109	Unreference	Complete Genome	166314	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. WH 8109;t__
GCF_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375	Represent	Complete Genome	167539	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus subsp. marinus str. CCMP1375
GCF_007197795.1	Geobacillus sp. E263	Unreference	Complete Genome	391290	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus sp. E263;t__
GCF_016127415.1	Delftia acidovorans	Unreference	Complete Genome	80866	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftia acidovorans;t__
GCF_903815225.1	Delftia tsuruhatensis	Unreference	Complete Genome	180282	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftia tsuruhatensis;t__
GCF_002812485.1	Dickeya fangzhongdai	Represent	Complete Genome	1778540	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya fangzhongdai;t__
GCF_002846995.1	Dickeya solani	Represent	Complete Genome	1089444	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya solani;t__
GCF_000365285.1	Dickeya solani MK10	Unreference	Chromosome	1224151	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya solani;t__Dickeya solani MK10
GCF_000018145.1	Dinoroseobacter shibae	Represent	Complete Genome	215813	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Dinoroseobacter;s__Dinoroseobacter shibae;t__
GCF_000264765.2	Edwardsiella anguillarum	Represent	Complete Genome	1821960	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Edwardsiella;s__Edwardsiella anguillarum;t__
GCF_003074995.2	Edwardsiella ictaluri	Represent	Complete Genome	67780	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Edwardsiella;s__Edwardsiella ictaluri;t__
GCF_002504285.1	Edwardsiella tarda	Represent	Complete Genome	636	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Edwardsiella;s__Edwardsiella tarda;t__
GCF_021378605.1	Eggerthella lenta	Represent	Complete Genome	84112	species	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta;t__
GCF_000008865.2	Escherichia coli	Reference	Complete Genome	562	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
GCF_000770155.1	Enterobacter cloacae	Represent	Complete Genome	550	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae;t__
GCF_019665745.1	Enterobacter cancerogenus	Represent	Chromosome	69218	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cancerogenus;t__
GCF_007035645.1	Enterobacter asburiae	Represent	Complete Genome	61645	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae;t__
GCF_007632255.1	Klebsiella aerogenes	Represent	Complete Genome	548	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes;t__
GCF_000800845.1	Escherichia coli RS218	Unreference	Complete Genome	439184	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli RS218
GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium	Reference	Complete Genome	90371	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
GCF_000006765.1	Pseudomonas aeruginosa	Reference	Complete Genome	287	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa;t__
GCF_900215245.1	Pseudomonas fluorescens	Represent	Chromosome	294	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas fluorescens;t__
GCF_000412675.1	Pseudomonas putida	Represent	Complete Genome	303	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida;t__
GCF_002055515.1	Acinetobacter calcoaceticus	Represent	Complete Genome	471	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus;t__
GCF_000069965.1	Proteus mirabilis	Represent	Complete Genome	584	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus;s__Proteus mirabilis;t__
GCF_001559615.2	Escherichia coli B	Unreference	Complete Genome	37762	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli B
GCF_000006925.2	Shigella flexneri	Reference	Complete Genome	623	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri;t__
GCF_000493675.1	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	Unreference	Complete Genome	85569	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica serovar Typhimurium str. DT104
GCF_019754155.1	Escherichia coli BL21(DE3)	Unreference	Complete Genome	469008	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli BL21(DE3)
GCF_014263375.1	Escherichia coli BL21	Unreference	Complete Genome	511693	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli BL21
GCF_009734005.1	Enterococcus faecium	Represent	Complete Genome	1352	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecium;t__
GCF_022557275.1	Enterococcus faecalis	Unreference	Complete Genome	1351	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;t__
GCF_000211255.2	Enterococcus faecalis 62	Unreference	Complete Genome	936153	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;t__Enterococcus faecalis 62
GCF_000007785.1	Enterococcus faecalis V583	Unreference	Complete Genome	226185	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;t__Enterococcus faecalis V583
GCF_000091565.1	Erwinia amylovora	Represent	Complete Genome	552	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia amylovora;t__
GCF_021365465.1	Erwinia tracheiphila	Represent	Complete Genome	65700	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia tracheiphila;t__
GCF_002952315.1	Erwinia pyrifoliae	Represent	Complete Genome	79967	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia pyrifoliae;t__
GCF_000026185.1	Erwinia tasmaniensis	Represent	Complete Genome	338565	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia tasmaniensis;t__
GCF_900637845.1	Erysipelothrix rhusiopathiae	Represent	Complete Genome	1648	species	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix;s__Erysipelothrix rhusiopathiae;t__
GCF_008727195.1	Escherichia coli O157	Unreference	Complete Genome	1045010	serogroup	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
GCF_014623425.1	Escherichia coli O145	Unreference	Complete Genome	1055538	serogroup	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
GCF_014262945.1	Escherichia coli CFT073	Unreference	Complete Genome	199310	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli CFT073
GCF_004798745.1	Salmonella enterica subsp. enterica serovar Oranienburg	Unreference	Complete Genome	28147	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica
GCF_020217445.1	Escherichia coli O78	Unreference	Complete Genome	2072463	serogroup	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
GCF_000258145.1	Escherichia coli W	Unreference	Complete Genome	566546	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli W
GCF_000017765.1	Escherichia coli HS	Unreference	Complete Genome	331112	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__Escherichia coli HS
GCF_003312465.1	Faecalibacterium prausnitzii	Represent	Complete Genome	853	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii;t__
GCA_012837155.1	Flavobacterium sp.	Unreference	Chromosome	239	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp.;t__
GCF_013343195.2	Flavobacterium psychrophilum	Represent	Complete Genome	96345	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium psychrophilum;t__
GCF_014844295.1	Flavobacterium columnare	Represent	Complete Genome	996	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium columnare;t__
GCF_000153625.3	Fusobacterium nucleatum subsp. polymorphum ATCC 10953	Unreference	Chromosome	393480	strain	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum;t__Fusobacterium nucleatum subsp. polymorphum ATCC 10953
GCF_001457555.1	Fusobacterium nucleatum	Represent	Complete Genome	851	species	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum;t__
GCF_000009785.1	Geobacillus kaustophilus	Represent	Complete Genome	1462	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus kaustophilus;t__
GCF_014961685.1	Geobacillus stearothermophilus	Unreference	Complete Genome	1422	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus stearothermophilus;t__
GCF_001700985.1	Parageobacillus thermoglucosidasius	Represent	Complete Genome	1426	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Parageobacillus;s__Parageobacillus thermoglucosidasius;t__
GCF_011290605.1	Gordonia terrae	Unreference	Complete Genome	2055	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia terrae;t__
GCF_014070455.1	Gordonia rubripertincta	Represent	Complete Genome	36822	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia rubripertincta;t__
GCF_004011905.1	Gordonia alkanivorans	Represent	Complete Genome	84096	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia alkanivorans;t__
GCF_007362295.1	Nocardia otitidiscaviarum	Represent	Complete Genome	1823	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia otitidiscaviarum;t__
GCF_000696675.2	Rhodococcus erythropolis	Represent	Complete Genome	1833	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus erythropolis;t__
GCF_019334125.1	Rhodococcus globerulus	Represent	Complete Genome	33008	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus globerulus;t__
GCF_002209125.2	Nocardia brasiliensis	Represent	Complete Genome	37326	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia brasiliensis;t__
GCF_900637185.1	Nocardia asteroides	Represent	Complete Genome	1824	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia asteroides;t__
GCF_000523235.1	Nocardia nova	Unreference	Complete Genome	37330	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia nova;t__
GCF_022059885.1	Gordonia amicalis	Unreference	Complete Genome	89053	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia amicalis;t__
GCF_020809485.1	Aggregatibacter actinomycetemcomitans	Unreference	Complete Genome	714	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans;t__
GCF_017352235.1	Glaesserella parasuis	Represent	Complete Genome	738	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Glaesserella;s__Glaesserella parasuis;t__
GCF_919946725.1	Haemophilus influenzae	Unreference	Complete Genome	727	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae;t__
GCF_000504565.1	Haloarcula hispanica	Unreference	Complete Genome	51589	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula hispanica;t__
GCF_000223905.1	Haloarcula hispanica ATCC 33960	Unreference	Complete Genome	634497	strain	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula hispanica;t__Haloarcula hispanica ATCC 33960
GCF_004799605.1	Halobacterium salinarum	Represent	Complete Genome	2242	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum;t__
GCF_000069025.1	Halobacterium salinarum R1	Unreference	Complete Genome	478009	strain	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum;t__Halobacterium salinarum R1
