host_name	host_taxid	host_tax_rank	host_lineage	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Burkholderia cenocepacia HI2424	331272	strain	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex; Burkholderia cenocepacia	Burkholderia cenocepacia HI2424	['GCF_000203955.1']	GCF_000203955.1	Unreference	Complete Genome	331272	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia;t__Burkholderia cenocepacia HI2424
Burkholderia pseudomallei 9	441158	strain	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group; Burkholderia pseudomallei	Burkholderia pseudomallei	['GCF_000756125.1']	GCF_000756125.1	Represent	Complete Genome	28450	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__
Burkholderia pseudomallei K96243	272560	strain	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group; Burkholderia pseudomallei	Burkholderia pseudomallei K96243	['GCF_000959285.1', 'GCF_000011545.1']	GCF_000959285.1	Unreference	Complete Genome	272560	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei K96243
Burkholderia pseudomallei 1710a	320371	strain	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group; Burkholderia pseudomallei	Burkholderia pseudomallei 1710a	['GCF_000193455.1']	GCF_000193455.1	Unreference	Chromosome	320371	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 1710a
Burkholderia pseudomallei 576	557724	strain	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group; Burkholderia pseudomallei	Burkholderia pseudomallei 576	['GCF_000756185.1']	GCF_000756185.1	Unreference	Complete Genome	557724	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 576
Burkholderia pseudomallei MSHR491	1249473	strain	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group; Burkholderia pseudomallei	Burkholderia pseudomallei MSHR491	['GCF_000959205.1']	GCF_000959205.1	Unreference	Complete Genome	1249473	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei MSHR491
Burkholderia glumae	337	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia	Burkholderia glumae	['GCF_009931375.1']	GCF_009931375.1	Represent	Complete Genome	337	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia glumae;t__
Burkholderia pyrrocinia	60550	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex	Burkholderia pyrrocinia	['GCF_001028665.1']	GCF_001028665.1	Represent	Complete Genome	60550	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pyrrocinia;t__
Burkholderia gladioli	28095	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia	Burkholderia gladioli	['GCF_016698705.1']	GCF_016698705.1	Represent	Complete Genome	28095	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia gladioli;t__
Burkholderia pseudomallei 1026b	884204	strain	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group; Burkholderia pseudomallei	Burkholderia pseudomallei 1026b	['GCF_000959125.1', 'GCF_000260515.1']	GCF_000959125.1	Unreference	Complete Genome	884204	strain	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__Burkholderia pseudomallei 1026b
Burkholderia pseudomallei	28450	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group	Burkholderia pseudomallei	['GCF_000756125.1']	GCF_000756125.1	Represent	Complete Genome	28450	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__
Burkholderia thailandensis	57975	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group	Burkholderia thailandensis	['GCF_001718635.1']	GCF_001718635.1	Represent	Complete Genome	57975	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia thailandensis;t__
Butyrivibrio fibrisolvens DSM 3071	1121131	strain	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Lachnospiraceae; Butyrivibrio; Butyrivibrio fibrisolvens	Butyrivibrio fibrisolvens	['GCF_902388015.1', 'GCF_003175155.1', 'GCF_000209815.1']	GCF_902388015.1	Unreference	Chromosome	831	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens;t__
Campylobacter jejuni	197	species	Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter	Campylobacter jejuni	['GCF_000009085.1']	GCF_000009085.1	Reference	Complete Genome	197	species	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__
Campylobacter jejuni subsp. jejuni	32022	subspecies	Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni	Campylobacter jejuni subsp. jejuni	['GCF_000009085.1']	GCF_000009085.1	Reference	Complete Genome	32022	subspecies	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni
Campylobacter jejuni subsp. jejuni 00-2425	1357994	strain	Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni; Campylobacter jejuni subsp. jejuni	Campylobacter jejuni subsp. jejuni 00-2425	['GCF_000468915.2', 'GCF_000468915.1']	GCF_000468915.2	Unreference	Complete Genome	1357994	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni 00-2425
Campylobacter jejuni subsp. jejuni PT14	1201032	strain	Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter jejuni; Campylobacter jejuni subsp. jejuni	Campylobacter jejuni subsp. jejuni PT14	['GCF_000302555.5', 'GCF_000302555.4', 'GCF_000302555.2', 'GCF_000302555.1']	GCF_000302555.5	Unreference	Complete Genome	1201032	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni PT14
Caulobacter vibrioides CB15	190650	strain	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter; Caulobacter vibrioides	Caulobacter vibrioides CB15	['GCF_000006905.1']	GCF_000006905.1	Unreference	Complete Genome	190650	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15
Caulobacter vibrioides	155892	species	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter	Caulobacter vibrioides	['GCF_000022005.1']	GCF_000022005.1	Reference	Complete Genome	155892	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__
Celeribacter marinus	1397108	species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Celeribacter	Celeribacter marinus	['GCF_001308265.1']	GCF_001308265.1	Represent	Complete Genome	1397108	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Celeribacter;s__Celeribacter marinus;t__
Cellulophaga baltica	76594	species	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome	76594	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__
Cellulophaga baltica 13	1348583	strain	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome	76594	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__
Cellulophaga baltica 18	1348584	strain	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	Cellulophaga baltica 18	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome	1348584	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 18
Cellulophaga baltica NN016038	1348585	strain	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	Cellulophaga baltica NN016038	['GCF_000477035.2']	GCF_000477035.2	Unreference	Complete Genome	1348585	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica NN016038
Cellulophaga baltica 4	1348582	strain	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cellulophaga; Cellulophaga baltica	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome	76594	species	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__
Chlamydia psittaci	83554	species	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	Chlamydia psittaci	['GCF_000204255.1']	GCF_000204255.1	Represent	Complete Genome	83554	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci;t__
Chlamydia abortus	83555	species	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	Chlamydia abortus	['GCF_900416725.2']	GCF_900416725.2	Represent	Complete Genome	83555	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia abortus;t__
Chlamydia felis	83556	species	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia	Chlamydia felis	['GCF_000009945.1']	GCF_000009945.1	Represent	Complete Genome	83556	species	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia felis;t__
Chlamydia caviae GPIC	227941	isolate	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia; Chlamydia caviae	Chlamydia caviae GPIC	['GCF_000007605.1']	GCF_000007605.1	Represent	Complete Genome	227941	isolate	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia caviae;t__
Chlamydia pecorum E58	331635	strain	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia; Chlamydia pecorum	Chlamydia pecorum E58	['GCF_000204135.1']	GCF_000204135.1	Unreference	Complete Genome	331635	strain	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pecorum;t__Chlamydia pecorum E58
Chlamydia pneumoniae AR39	115711	strain	Bacteria; PVC group; Chlamydiae; Chlamydiia; Chlamydiales; Chlamydiaceae; Chlamydia; Chlamydia pneumoniae	Chlamydia pneumoniae AR39	['GCF_000091085.2', 'GCF_000091085.1']	GCF_000091085.2	Unreference	Complete Genome	115711	strain	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pneumoniae;t__Chlamydia pneumoniae AR39
Citrobacter freundii	546	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome	546	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii;t__
Citrobacter amalonaticus	35703	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter	Citrobacter amalonaticus	['GCF_001558935.2']	GCF_001558935.2	Represent	Complete Genome	35703	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter amalonaticus;t__
Clavibacter michiganensis subsp. michiganensis	33013	subspecies	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Microbacteriaceae; Clavibacter; Clavibacter michiganensis	Clavibacter michiganensis subsp. michiganensis	['GCF_009739655.1']	GCF_009739655.1	Represent	Complete Genome	33013	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter michiganensis;t__Clavibacter michiganensis subsp. michiganensis
Clavibacter michiganensis	28447	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Microbacteriaceae; Clavibacter	Clavibacter michiganensis	['GCF_009739655.1']	GCF_009739655.1	Represent	Complete Genome	28447	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Clavibacter;s__Clavibacter michiganensis;t__
Clostridioides difficile	1496	species	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Peptostreptococcaceae; Clostridioides	Clostridioides difficile	['GCF_018885085.1']	GCF_018885085.1	Represent	Complete Genome	1496	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;t__
Clostridium botulinum C str. Stockholm	929505	strain	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium botulinum	Clostridium botulinum	['GCF_000063585.1']	GCF_000063585.1	Represent	Complete Genome	1491	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium botulinum;t__
Clostridium perfringens	1502	species	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	Clostridium perfringens	['GCF_020138775.1']	GCF_020138775.1	Represent	Complete Genome	1502	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__
Clostridium perfringens ATCC 13124	195103	strain	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium perfringens	Clostridium perfringens ATCC 13124	['GCF_000013285.1']	GCF_000013285.1	Unreference	Complete Genome	195103	strain	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens ATCC 13124
Clostridium sporogenes	1509	species	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	Clostridium sporogenes	['GCF_020450145.1']	GCF_020450145.1	Represent	Chromosome	1509	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sporogenes;t__
Clostridium tetani	1513	species	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1', 'GCF_004208455.1', 'GCF_004208435.1']	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium tetani ATCC 9441	1172203	strain	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium tetani	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1', 'GCF_004208455.1', 'GCF_004208435.1']	GCF_003013635.1	Unreference	Complete Genome	1513	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani;t__
Clostridium tyrobutyricum	1519	species	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	Clostridium tyrobutyricum	['GCF_001642655.1']	GCF_001642655.1	Represent	Complete Genome	1519	species	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium tyrobutyricum;t__
Clostridium perfringens SM101	289380	strain	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium perfringens	Clostridium perfringens SM101	['GCF_000013845.2', 'GCF_000013845.1']	GCF_000013845.2	Unreference	Complete Genome	289380	strain	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium perfringens;t__Clostridium perfringens SM101
Colwellia psychrerythraea 34H	167879	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia; Colwellia psychrerythraea	Colwellia psychrerythraea 34H	['GCF_000012325.1']	GCF_000012325.1	Represent	Complete Genome	167879	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Colwellia;s__Colwellia psychrerythraea;t__Colwellia psychrerythraea 34H
Corynebacterium xerosis	1725	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Corynebacteriaceae; Corynebacterium	Corynebacterium xerosis	['GCF_003641245.1']	GCF_003641245.1	Represent	Complete Genome	1725	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis;t__
Corynebacterium vitaeruminis	38305	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Corynebacteriaceae; Corynebacterium	Corynebacterium vitaeruminis	['GCF_000550805.1']	GCF_000550805.1	Represent	Complete Genome	38305	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis;t__
Corynebacterium glutamicum	1718	species	Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Corynebacteriaceae; Corynebacterium	Corynebacterium glutamicum	['GCF_000404185.1']	GCF_000404185.1	Represent	Complete Genome	1718	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum;t__
Croceibacter atlanticus HTCC2559	216432	strain	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Croceibacter; Croceibacter atlanticus	Croceibacter atlanticus HTCC2559	['GCF_000196315.1']	GCF_000196315.1	Represent	Complete Genome	216432	strain	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter;s__Croceibacter atlanticus;t__Croceibacter atlanticus HTCC2559
Cronobacter sakazakii	28141	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter	Cronobacter sakazakii	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome	28141	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter sakazakii;t__
Cronobacter turicensis	413502	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter	Cronobacter turicensis	['GCF_000027065.2', 'GCF_000027065.1']	GCF_000027065.2	Unreference	Complete Genome	413502	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter turicensis;t__
Cronobacter malonaticus	413503	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter	Cronobacter malonaticus	['GCF_001277215.2']	GCF_001277215.2	Represent	Complete Genome	413503	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter malonaticus;t__
Cronobacter dublinensis subsp. dublinensis LMG 23823	1159554	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter; Cronobacter dublinensis; Cronobacter dublinensis subsp. dublinensis	Cronobacter dublinensis subsp. dublinensis LMG 23823	['GCF_001277235.1']	GCF_001277235.1	Represent	Complete Genome	1159554	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter dublinensis;t__Cronobacter dublinensis subsp. dublinensis LMG 23823
Cronobacter muytjensii ATCC 51329	1159613	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter; Cronobacter muytjensii	Cronobacter muytjensii ATCC 51329	['GCF_001277195.1']	GCF_001277195.1	Represent	Complete Genome	1159613	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter muytjensii;t__Cronobacter muytjensii ATCC 51329
Cronobacter condimenti	1163710	species	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter	Cronobacter condimenti	['GCF_001277255.1']	GCF_001277255.1	Represent	Complete Genome	1163710	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter condimenti;t__
Cronobacter malonaticus LMG 23826	1159491	strain	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter; Cronobacter malonaticus	Cronobacter malonaticus LMG 23826	['GCF_001277215.2']	GCF_001277215.2	Represent	Complete Genome	1159491	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter malonaticus;t__Cronobacter malonaticus LMG 23826
Synechococcus sp. WH 7803	32051	species	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus	Synechococcus sp. WH 7803	['GCF_000063505.1']	GCF_000063505.1	Unreference	Complete Genome	32051	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. WH 7803;t__
Prochlorococcus marinus str. NATL2A	59920	strain	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus	Prochlorococcus marinus str. NATL2A	['GCF_000012465.1']	GCF_000012465.1	Unreference	Complete Genome	59920	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus str. NATL2A
Leptolyngbya boryana	1184	species	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Pseudanabaenales; Leptolyngbyaceae; Leptolyngbya	Leptolyngbya boryana	['GCF_002142475.1']	GCF_002142475.1	Represent	Complete Genome	1184	species	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__Leptolyngbya boryana;t__
Prochlorococcus marinus str. MIT 9313	74547	strain	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9313	['GCF_000011485.1']	GCF_000011485.1	Unreference	Complete Genome	74547	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus str. MIT 9313
Synechococcus sp. WH 8109	166314	species	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus	Synechococcus sp. WH 8109	['GCF_000161795.2']	GCF_000161795.2	Unreference	Complete Genome	166314	species	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. WH 8109;t__
