virus_name	refseq_id	virus_taxid	virus_lineage	evidence	host_name	host_taxid	host_lineage	host_rank
Burkholderia phage ST79	NC_021343	1282994	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Nampongvirus;s__Burkholderia virus ST79;t__	RefSeq	Burkholderia pseudomallei	28450	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__	species
Burkholderia phage vB_BceS_AH2	NC_018283	1133022	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Ahduovirus;s__Burkholderia virus AH2;t__	RefSeq	Burkholderia cenocepacia	95486	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia;t__	species
Burkholderia phage vB_BceS_KL1	NC_018278	1132026	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Kilunavirus;s__Burkholderia virus KL1;t__	RefSeq	Burkholderia cenocepacia	95486	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia;t__	species
Burkholderia virus phi52237	NC_007145	332032	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Tigrvirus;s__Burkholderia virus phi52237;t__	NCBI Virus, RefSeq	Burkholderia pseudomallei	28450	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei;t__	species
Butyrivibrio virus Arawn	NC_048848	2696356	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Arawnvirus;s__Butyrivibrio virus Arawn;t__	NCBI Virus, RefSeq	Butyrivibrio fibrisolvens DSM 3071	1121131	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens;t__Butyrivibrio fibrisolvens DSM 3071	strain
Campylobacter phage CJIE4-1	KF751793	1470458	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-1;t__	NCBI Virus	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter phage CJIE4-1	KF751793	1470458	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-1;t__	RefSeq	Campylobacter jejuni subsp. jejuni	32022	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni	subspecies
Campylobacter phage CJIE4-2	KF751794	1470459	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-2;t__	NCBI Virus	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter phage CJIE4-2	KF751794	1470459	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-2;t__	RefSeq	Campylobacter jejuni subsp. jejuni	32022	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni	subspecies
Campylobacter phage CJIE4-3	KF751795	1470460	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-3;t__	NCBI Virus, RefSeq	Campylobacter jejuni subsp. jejuni 00-2425	1357994	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni 00-2425	strain
Campylobacter phage CJIE4-4	KF751796	1470461	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-4;t__	NCBI Virus	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter phage CJIE4-4	KF751796	1470461	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-4;t__	RefSeq	Campylobacter jejuni subsp. jejuni	32022	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni	subspecies
Campylobacter phage CJIE4-5	KF751797	1470462	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-5;t__	NCBI Virus	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter phage CJIE4-5	KF751797	1470462	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Campylobacter phage CJIE4-5;t__	RefSeq	Campylobacter jejuni subsp. jejuni	32022	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni	subspecies
Campylobacter phage CP21	NC_019507	2881391	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Firehammervirus;s__Campylobacter virus CP21;t__	RefSeq	Campylobacter sp.	205	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter sp.;t__	species
Campylobacter phage CP30A	NC_018861	1229752	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus CP30A;t__	RefSeq	Campylobacter jejuni subsp. jejuni	32022	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni	subspecies
Campylobacter phage CP30A	NC_018861	1229752	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus CP30A;t__	RefSeq	Campylobacter jejuni subsp. jejuni PT14	1201032	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni PT14	strain
Campylobacter phage CP8	KF148616	1340809	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus CP81;t__	RefSeq	Campylobacter jejuni subsp. jejuni	32022	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__Campylobacter jejuni subsp. jejuni	subspecies
Campylobacter phage CPX	NC_016562	2885911	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus CPX;t__	RefSeq	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter phage NCTC12673	NC_015464	2885915	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus NCTC12673;t__	RefSeq	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter phage PC14	NC_031909	1541686	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus NCTC12673;t__	NCBI Virus, RefSeq	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter phage vB_CjeM_Los1	NC_041896	1904491	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus Los1;t__	RefSeq	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Campylobacter virus CP220	NC_027997	722417	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Firehammervirus;s__Campylobacter virus CP220;t__	NCBI Virus, RefSeq	Campylobacter sp.	205	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter sp.;t__	species
Campylobacter virus CP81	NC_042112	990550	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Fletchervirus;s__Campylobacter virus CP81;t__	NCBI Virus, RefSeq	Campylobacter jejuni	197	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni;t__	species
Caulobacter phage CcrBL10	NC_048045	2283269	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Poindextervirus;s__Caulobacter virus CcrBL10;t__	RefSeq	Caulobacter vibrioides CB15	190650	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15	strain
Caulobacter phage CcrBL9	NC_048047	2283270	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Bertelyvirus;s__Caulobacter virus CcrBL9;t__	RefSeq	Caulobacter vibrioides CB15	190650	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15	strain
Caulobacter phage CcrColossus	NC_019406	1211640	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Colossusvirus;s__Caulobacter virus CcrColossus;t__	RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter phage CcrPW	NC_048046	2283271	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Colossusvirus;s__Caulobacter virus CcrPW;t__	RefSeq	Caulobacter vibrioides CB15	190650	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15	strain
Caulobacter phage CcrSC	NC_048048	2283272	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Bertelyvirus;s__Caulobacter virus CcrSC;t__	RefSeq	Caulobacter vibrioides CB15	190650	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15	strain
Caulobacter phage Cr30	NC_025422	1357714	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Caulobacter phage Cr30;t__	NCBI Virus, RefSeq	Caulobacter vibrioides CB15	190650	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__Caulobacter vibrioides CB15	strain
Caulobacter phage Lullwater	NC_047860	2024607	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Lullwatervirus;s__Caulobacter virus Lullwater;t__	RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter phage Percy	NC_029092	1701809	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Autographiviridae;g__Percyvirus;s__Caulobacter virus Percy;t__	RefSeq	Caulobacter sp.	78	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter sp.;t__	species
Caulobacter phage phiCb5	NC_019453	767473	k__Viruses;p__Lenarviricota;c__Leviviricetes;o__Timlovirales;f__Steitzviridae;g__Cebevirus;s__Cebevirus halophobicum;t__	RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter phage Sansa	NC_047756	1675600	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Sansavirus;s__Caulobacter virus Sansa;t__	RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter phage Seuss	NC_047757	1675601	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Seussvirus;s__Caulobacter virus Seuss;t__	RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter virus Karma	NC_019410	1211641	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Shapirovirus;s__Caulobacter virus Karma;t__	NCBI Virus, RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter virus Magneto	NC_019407	1211642	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Shapirovirus;s__Caulobacter virus Magneto;t__	NCBI Virus, RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter virus phiCbK	NC_019405	1204537	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Shapirovirus;s__Caulobacter virus phiCbK;t__	NCBI Virus, RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter virus Rogue	NC_019408	1211643	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Phicbkvirus;s__Caulobacter virus Rogue;t__	NCBI Virus, RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Caulobacter virus Swift	NC_019411	1211644	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Shapirovirus;s__Caulobacter virus Swift;t__	NCBI Virus, RefSeq	Caulobacter vibrioides	155892	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter vibrioides;t__	species
Celeribacter phage P12053L	NC_018280	1197951	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Zobellviridae;g__Siovirus;s__Celeribacter virus P12053L;t__	RefSeq	Celeribacter marinus	1397108	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Celeribacter;s__Celeribacter marinus;t__	species
Cellulophaga phage phi10:1	NC_021802	1327981	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Cellulophaga phage phi10:1;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi12:1	NC_021791	1327976	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Helsingorvirus;s__Cellulophaga virus Cba121;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi12:2	NC_021797	1327969	k__Viruses;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__Cellulophaga phage phi12:2;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi12:3	KC821615	1327979	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Helsingorvirus;s__Cellulophaga virus Cba121;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi12a:1	NC_021805	1327987	k__Viruses;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__Cellulophaga phage phi12a:1;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi13:1	KC821625	1327992	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cbastvirus;s__Cellulophaga virus ST;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi13:1	KC821625	1327992	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cbastvirus;s__Cellulophaga virus ST;t__	RefSeq	Cellulophaga baltica 13	1348583	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 13	strain
Cellulophaga phage phi13:2	NC_021803	1328030	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__;s__Cellulophaga phage phi13:2;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi13:2	NC_021803	1328030	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__;s__Cellulophaga phage phi13:2;t__	RefSeq	Cellulophaga baltica 13	1348583	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 13	strain
Cellulophaga phage phi14:2	NC_021806	1327990	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__;s__Cellulophaga phage phi14:2;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi17:1	NC_021795	1327980	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Helsingorvirus;s__Cellulophaga virus Cba171;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi17:2	NC_021798	1327972	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__Lightbulbvirus;s__Cellulophaga virus Cba172;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi18:1	NC_021790	1327982	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Helsingorvirus;s__Cellulophaga virus Cba181;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi18:1	NC_021790	1327982	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Helsingorvirus;s__Cellulophaga virus Cba181;t__	RefSeq	Cellulophaga baltica 18	1348584	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 18	strain
Cellulophaga phage phi18:2	KC821627	1327995	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Helsingorvirus;s__Cellulophaga virus Cba181;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi18:2	KC821627	1327995	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Helsingorvirus;s__Cellulophaga virus Cba181;t__	RefSeq	Cellulophaga baltica 18	1348584	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 18	strain
Cellulophaga phage phi18:3	NC_021794	1327983	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__;s__Cellulophaga phage phi18:3;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi18:3	NC_021794	1327983	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__;s__Cellulophaga phage phi18:3;t__	RefSeq	Cellulophaga baltica 18	1348584	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 18	strain
Cellulophaga phage phi18:4	KC821628	1327997	k__Viruses;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__Cellulophaga phage phi12a:1;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi18:4	KC821628	1327997	k__Viruses;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__;s__Cellulophaga phage phi12a:1;t__	RefSeq	Cellulophaga baltica 18	1348584	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica 18	strain
Cellulophaga phage phi19:1	NC_021799	1327970	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Cellulophaga phage phi19:1;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi19:2	KC821621	1327984	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cbastvirus;s__Cellulophaga virus ST;t__	RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi19:3	NC_021789	1327971	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__;s__Cellulophaga phage phi19:3;t__	NCBI Virus, RefSeq	Cellulophaga baltica	76594	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__	species
Cellulophaga phage phi38:1	NC_021796	1327977	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Podoviridae;g__;s__Cellulophaga phage phi38:1;t__	NCBI Virus, RefSeq	Cellulophaga baltica NN016038	1348585	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica NN016038	strain
Cellulophaga phage phi38:2	KC821629	1327999	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Cellulophaga phage phi38:2;t__	NCBI Virus, RefSeq	Cellulophaga baltica NN016038	1348585	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga baltica;t__Cellulophaga baltica NN016038	strain
