viral_acc	virus_name	report_host	corrected_name	find_name	gcfs	new_gcf	assembly_category	assembly_level	tax_ranks
NC_022762	Lactobacillus phage phiLdb	Lactobacillus delbrueckii ATCC 11842	Lactobacillus delbrueckii ATCC 11842	Lactobacillus delbrueckii ATCC 11842	['GCF_021229055.1', 'GCF_021133995.1', 'GCF_021133915.1', 'GCF_021133885.1', 'GCF_021133875.1', 'GCF_021133815.1', 'GCF_021133835.1', 'GCF_021133785.1', 'GCF_021133755.1', 'GCF_021133735.1', 'GCF_021133715.1', 'GCF_021133675.1', 'GCF_018722805.1', 'GCF_018722785.1', 'GCF_018722585.1', 'GCF_018722565.1', 'GCF_018722545.1', 'GCF_018722515.1', 'GCF_018722495.1', 'GCF_018722475.1', 'GCF_018722465.1', 'GCF_018722445.1', 'GCF_018722415.1', 'GCF_018722405.1', 'GCF_018722385.1', 'GCF_018722355.1', 'GCF_018722345.1', 'GCF_018722295.1', 'GCF_018722315.1', 'GCF_018722285.1', 'GCF_018722265.1', 'GCF_018722245.1', 'GCF_018722225.1', 'GCF_018722185.1', 'GCF_018722195.1', 'GCF_018722165.1', 'GCF_018722145.1', 'GCF_018722125.1', 'GCF_018722095.1', 'GCF_018722085.1', 'GCF_018722065.1', 'GCF_018722035.1', 'GCF_018722025.1', 'GCF_018722005.1', 'GCF_018721975.1', 'GCF_018721965.1', 'GCF_018721945.1', 'GCF_018721925.1', 'GCF_018721905.1', 'GCF_018721855.1', 'GCF_018721845.1', 'GCF_018721735.1', 'GCF_018721705.1', 'GCF_018721625.1', 'GCF_018721595.1', 'GCF_018721585.1', 'GCF_018721565.1', 'GCF_018721545.1', 'GCF_018721525.1', 'GCF_018721485.1', 'GCF_018721505.1', 'GCF_018721465.1', 'GCF_018721445.1', 'GCF_018721425.1', 'GCF_018721405.1', 'GCF_018721385.1', 'GCF_018721365.1', 'GCF_018721345.1', 'GCF_018721265.1', 'GCF_018721325.1', 'GCF_018721305.1', 'GCF_018721275.1', 'GCF_018721245.1', 'GCF_018721225.1', 'GCF_018721205.1', 'GCF_018721175.1', 'GCF_018721165.1', 'GCF_018721145.1', 'GCF_018721125.1', 'GCF_018721105.1', 'GCF_018721085.1', 'GCF_018721045.1', 'GCF_018721055.1', 'GCF_018721025.1', 'GCF_018721005.1', 'GCF_018720985.1', 'GCF_018720905.1', 'GCF_018720895.1', 'GCF_018720815.1', 'GCF_018720795.1', 'GCF_018720755.1', 'GCF_018720765.1', 'GCF_018720725.1', 'GCF_018720715.1', 'GCF_018720695.1', 'GCF_018720675.1', 'GCF_018720625.1', 'GCF_018720615.1', 'GCF_018720635.1', 'GCF_018720595.1', 'GCF_018720575.1', 'GCF_018720545.1', 'GCF_018720515.1', 'GCF_018720525.1', 'GCF_018720495.1', 'GCF_018720475.1', 'GCF_018720445.1', 'GCF_018720435.1', 'GCF_018720415.1', 'GCF_018720395.1', 'GCF_018720375.1', 'GCF_018720335.1', 'GCF_018720315.1', 'GCF_018720325.1', 'GCF_018720285.1', 'GCF_018720275.1', 'GCF_018720215.1', 'GCF_018720255.1', 'GCF_018720225.1', 'GCF_018720195.1', 'GCF_018720175.1', 'GCF_018720055.1', 'GCF_018720155.1', 'GCF_018720095.1', 'GCF_018720065.1', 'GCF_018720035.1', 'GCF_018720005.1', 'GCF_018719995.1', 'GCF_018719935.1', 'GCF_018719975.1', 'GCF_018719945.1', 'GCF_018719915.1', 'GCF_018719885.1', 'GCF_018719875.1', 'GCF_018719855.1', 'GCF_018719785.1', 'GCF_018719835.1', 'GCF_018719805.1', 'GCF_018719775.1', 'GCF_018719755.1', 'GCF_018719735.1', 'GCF_018719715.1', 'GCF_018719695.1', 'GCF_018719675.1', 'GCF_018719655.1', 'GCF_018719635.1', 'GCF_018719615.1', 'GCF_018719595.1', 'GCF_018719565.1', 'GCF_018719555.1', 'GCF_018719535.1', 'GCF_018719505.1', 'GCF_018719495.1', 'GCF_018719455.1', 'GCF_018719465.1', 'GCF_018719435.1', 'GCF_018719395.1', 'GCF_018719375.1', 'GCF_018719355.1', 'GCF_018719335.1', 'GCF_018719305.1', 'GCF_018719295.1', 'GCF_018719275.1', 'GCF_018719235.1', 'GCF_018719255.1', 'GCF_018719215.1', 'GCF_018719195.1', 'GCF_018719155.1', 'GCF_018719165.1', 'GCF_018719135.1', 'GCF_018719115.1', 'GCF_018719095.1', 'GCF_018719075.1', 'GCF_018719005.1', 'GCF_018718995.1', 'GCF_018718955.1', 'GCF_018718805.1', 'GCF_018718665.1', 'GCF_018718755.1', 'GCF_018718655.1', 'GCF_018718475.1', 'GCF_018718485.1', 'GCF_018718425.1', 'GCF_018718435.1', 'GCF_018718265.1', 'GCF_018718275.1', 'GCF_018718285.1', 'GCF_018718225.1', 'GCF_018718235.1', 'GCF_018718175.1', 'GCF_018718185.1', 'GCF_018718165.1', 'GCF_018718135.1', 'GCF_018718125.1', 'GCF_018718065.1', 'GCF_018718025.1', 'GCF_018718075.1', 'GCF_018718035.1', 'GCF_018718045.1', 'GCA_018719405.1']	GCF_021229055.1	Unreference	Scaffold	
NC_019916	Lactobacillus virus ATCC8014	Lactobacillus plantarum ATCC 8014	Lactobacillus plantarum ATCC 8014	Lactobacillus plantarum ATCC 8014	['GCF_002749655.1']	GCF_002749655.1	Unreference	Complete Genome	
NC_002666	Lactococcus phage bIL285	Lactococcus lactis subsp. lactis IL1403	Lactococcus lactis subsp. lactis IL1403	Lactococcus lactis subsp. lactis IL1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	strain
NC_002667	Lactococcus phage bIL286	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	strain
NC_002668	Lactococcus phage bIL309	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	strain
NC_002669	Lactococcus phage bIL310	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	strain
NC_002670	Lactococcus phage bIL311	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	strain
NC_002671	Lactococcus phage bIL312	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	strain
NC_031016	Lactococcus phage PLgT-1	Lactococcus garvieae Lg2	Lactococcus garvieae Lg2	Lactococcus garvieae Lg2	['GCF_000269945.1']	GCF_000269945.1	Unreference	Complete Genome	strain
NC_008363	Lactococcus virus P008	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis subsp. lactis Il1403	['GCF_000006865.1']	GCF_000006865.1	Unreference	Complete Genome	strain
NC_042024	Lactococcus virus P2	Lactococcus lactis subsp. cremoris MG1363	Lactococcus lactis subsp. cremoris MG1363	Lactococcus lactis subsp. cremoris MG1363	['GCF_000009425.1']	GCF_000009425.1	Unreference	Complete Genome	strain
NC_042099	Microbacterium phage Dismas	Microbacterium foliorum NRRL B-24224	Microbacterium foliorum NRRL B-24224	Microbacterium foliorum NRRL B-24224	['GCF_003367705.1']	GCF_003367705.1	Represent	Complete Genome	
NC_023597	Mycobacterium phage 20ES	Mycobacterium smegmatis mc2155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028920	Mycobacterium phage Abrogate	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022328	Mycobacterium phage Adawi	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022058	Mycobacterium phage Adzzy	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023723	Mycobacterium phage Aeneas	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023742	Mycobacterium phage Akoma	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028986	Mycobacterium phage Alice	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023862	Mycobacterium phage Alsfro	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_026583	Mycobacterium phage Alvin	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_012788	Mycobacterium phage Angel	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022087	Mycobacterium phage AnnaL29	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_029018	Mycobacterium phage Anubis	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028691	Mycobacterium phage Apizium	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_031277	Mycobacterium phage ArcherNM	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_021348	Mycobacterium phage ArcherS7	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028878	Mycobacterium phage Archie	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028876	Mycobacterium phage Ariel	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022977	Mycobacterium phage Artemis2UCLA	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_021349	Mycobacterium phage Astraea	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_041965	Mycobacterium phage Athena	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_031279	Mycobacterium phage Bactobuster	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028682	Mycobacterium phage Badfish	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028742	Mycobacterium phage Baee	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022331	Mycobacterium phage Bane1	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023747	Mycobacterium phage BarrelRoll	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028804	Mycobacterium phage Barriga	Mycobacterium smegmatis mc2155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023562	Mycobacterium phage BellusTerra	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_024135	Mycobacterium phage Bernal13	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022983	Mycobacterium phage Bernardo	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023692	Mycobacterium phage BigNuz	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028823	Mycobacterium phage Bipolar	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_031253	Mycobacterium phage Bipper	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023713	Mycobacterium phage Blue7	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022055	Mycobacterium phage Bobi	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_041970	Mycobacterium phage Bongo	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_029044	Mycobacterium phage Breeniome	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_031262	Mycobacterium phage Brocalys	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028968	Mycobacterium phage BrownCNA	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022988	Mycobacterium phage Bruin	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028747	Mycobacterium phage Brusacoram	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_021061	Mycobacterium phage Butters	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_026593	Mycobacterium phage BuzzLyseyear	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028678	Mycobacterium phage Cabrinians	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028922	Mycobacterium phage Cambiare	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028842	Mycobacterium phage CaptainTrips	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028779	Mycobacterium phage Carcharodon	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_021324	Mycobacterium phage CASbig	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_031238	Mycobacterium phage Catalina	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022057	Mycobacterium phage Catdawg	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_026604	Mycobacterium phage Cerasum	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028897	Mycobacterium phage Chadwick	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023729	Mycobacterium phage Charlie	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028979	Mycobacterium phage Cheetobro	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_042034	Mycobacterium phage ChrisnMich	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022965	Mycobacterium phage CloudWang3	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028689	Mycobacterium phage Colbert	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022973	Mycobacterium phage Conspiracy	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022065	Mycobacterium phage Contagion	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023606	Mycobacterium phage CRB1	Mycobacterium smegmatis mc2155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022071	Mycobacterium phage Crossroads	Mycobacterium smegamtis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022068	Mycobacterium phage Daenerys	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_024371	Mycobacterium phage Damien	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023696	Mycobacterium phage Dandelion	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_028946	Mycobacterium phage Dante	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023552	Mycobacterium phage Donovan	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023703	Mycobacterium phage Dori	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022059	Mycobacterium phage DrDrey	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023708	Mycobacterium phage Dreamboat	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_021306	Mycobacterium phage Dumbo	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_029079	Mycobacterium phage Dusk	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_022325	Mycobacterium phage Dylan	Mycobacterium smegamtis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023564	Mycobacterium phage EagleEye	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_023553	Mycobacterium phage Echild	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
NC_029059	Mycobacterium phage Edtherson	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	strain
